0,p-103,end,101,3,2
0,p-104,end,101,4,2
0,p-104,end,101,2,3
0,p-103,end,102,4,3
0,p-103,end,102,2,4
0,p-103,end,102,4,3
0,p-103,end,102,4,4
0,p-103,end,102,1,3
0,p-103,end,102,4,3
0,p-103,end,102,2,3
0,p-103,end,102,2,2
0,p-103,end,102,1,3
0,p-103,end,102,4,3
0,p-103,end,102,4,2
0,p-103,end,102,3,3
0,p-103,end,102,4,4
0,p-103,end,102,4,2
0,p-103,end,102,4,3
0,p-103,end,102,2,2
0,p-103,end,102,4,2
0,p-103,end,102,5,4
0,p-103,end,102,2,3
0,p-103,end,102,4,3
0,p-103,end,102,2,3
0,p-103,end,102,3,3
0,p-103,end,102,1,3
0,p-103,end,102,2,3
0,p-103,end,102,3,3
0,p-103,end,102,2,3
0,p-103,end,102,3,3
0,p-103,end,102,2,4
0,p-103,end,102,2,3
0,p-103,end,102,3,4
0,p-104,end,103,3,2
0,p-104,end,103,2,2
0,p-104,end,103,5,2
0,p-104,end,103,3,2
0,p-104,end,103,2,3
0,p-104,end,103,3,3
0,p-104,end,103,2,4
0,p-104,end,103,3,4
0,p-104,end,103,2,2
0,p-104,end,103,2,4
0,p-104,end,103,3,3
0,p-104,end,103,2,4
0,p-104,end,103,4,3
0,p-104,end,103,4,3
0,p-104,end,103,2,2
0,p-104,end,103,3,4
0,p-104,end,103,4,2
0,p-104,end,103,3,3
0,p-104,end,103,3,2
0,p-104,end,103,2,3
6,p-104,end,103,2,3
8,p-104,end,101,2,3
15,p-103,end,102,3,4
19,p-103,end,102,4,3
29,p-104,end,101,4,4
75,p-104,end,103,2,4
77,p-103,p-104,101,5,4
80,p-104,end,103,4,3
90,p-104,end,101,4,3
106,p-103,end,102,4,3
109,p-104,end,101,3,3
109,p-104,end,101,3,3
117,p-103,p-104,101,1,4
123,p-104,end,101,3,3
129,p-103,p-104,101,3,4
134,p-103,end,102,4,4
151,p-104,end,103,5,3
154,p-104,end,101,3,3
159,p-104,end,103,3,2
180,p-104,end,101,2,2
193,p-104,end,101,2,2
196,p-104,end,103,3,2
203,p-104,end,101,4,3
207,p-103,p-104,101,2,2
214,p-103,p-104,101,4,2
219,p-103,p-104,101,4,3
222,p-104,end,103,3,3
225,p-103,end,102,1,3
230,p-103,end,101,3,2
230,p-104,end,103,3,3
235,p-103,end,102,2,2
242,p-103,p-104,101,2,3
242,p-103,end,102,0,2
254,p-103,p-104,101,3,3
262,p-104,end,101,4,4
262,p-103,end,102,4,3
272,p-104,end,103,4,3
275,p-104,end,103,2,2
294,p-103,end,102,3,3
300,p-103,end,102,2,3
317,p-104,end,101,3,4
